rank	System.II	System.I	direction	Sum.System.I	Sum.System.II	CooccurCounts	Pagel.p.value	P.value.System.I.dep	P.value.System.II.dep	Bonferroni	Benjamini.Hochberg
69	Druantia III	ietAS	-1	1979	3391	108	2.56280197890787e-13	1.10553252459341e-08	5.16678275113819e-12	Y	Y
70	DRT III	RM I	1	18714	1497	1158	3.5925087513673e-13	0.167489776242791	1.90989796605954e-14	Y	Y
71	PsyrTA	RM IIG	-1	3307	1382	640	4.85957662147601e-13	1.41940251760441e-06	1.87443924444822e-08	Y	Y
72	Gabija	RM IV	1	8297	4540	1604	5.51599174917362e-13	1.70399351304902e-14	1.73746792115863e-05	Y	Y
73	GAO_19	Shedu	1	365	850	44	9.58085074300916e-13	5.88044026407132e-14	2.04473988226268e-08	Y	Y
74	CRISPR I-E	ppl	1	686	17573	519	1.22136791393963e-12	0.000726138497433398	1.29311295264571e-12	Y	Y
75	CRISPR I-E	dXTPase	-1	2159	17573	1390	1.43685248844884e-12	7.0346516250767e-09	7.43325962900937e-05	Y	Y
76	Zorya I	darTG	1	967	489	123	2.46245079840591e-12	5.81561231439746e-09	7.08104551399557e-12	Y	Y
77	Lit	RM I	-1	18714	336	220	2.615576845185e-12	9.58923569607462e-12	0.0388546022768414	Y	Y
78	BREX I	Dpd	-1	1259	1622	10	3.45255259909345e-12	2.52310358914697e-11	1.55214269511785e-12	Y	Y
79	AbiE	Retron V	1	205	5251	40	4.56539101885629e-12	0.209874014956232	1.06232389001958e-12	Y	Y
80	RM I	RM II	1	26131	18714	18586	7.14366392897941e-12	0.0359959865573217	2.86760674720996e-08	Y	Y
81	RM I	Zorya I	1	489	18714	452	1.06658561295298e-11	8.06941168262031e-08	4.34506084200967e-13	Y	Y
82	CRISPR I-E	dCTPdeaminase	1	251	17573	166	1.23673707228366e-11	0.761458130068682	6.80860707249915e-13	Y	Y
83	Lamassu I	Septu I	1	2632	202	74	1.41185042665637e-11	1.15508507653276e-12	5.41826040056774e-05	Y	Y
84	Mokosh II	dCTPdeaminase	1	251	975	46	1.48292023224326e-11	1.86867219950941e-10	1.47066939690664e-09	Y	Y
85	Dpd	RM IV	-1	8297	1259	197	1.75387364906081e-11	9.5454207280315e-12	3.38041833440667e-06	Y	Y
86	Druantia III	RM III	-1	3335	3391	197	2.84286720182063e-11	1.94968676340903e-10	5.35968758081562e-08	Y	Y
87	DRT III	RM IV	1	8297	1497	517	5.99926922951909e-11	4.47814196781486e-09	0.000163677029152097	Y	Y
88	Dpd	Retron V	1	205	1259	2	9.30545203425267e-11	0.0995438441004789	0.000233989939252744	Y	Y
89	AbiQ	Druantia III	1	3391	203	23	1.00024657095582e-10	6.74732073280747e-10	0.572924412193499	Y	Y
90	AbiE	Druantia III	1	3391	5251	352	1.36455122795088e-10	2.46104743933738e-10	0.138706783550127	Y	Y
91	Druantia III	RM I	1	18714	3391	2738	1.43886389972958e-10	1.4187868473276e-11	0.776777849046724	Y	Y
92	Dpd	PARIS	1	603	1259	9	1.73826720031046e-10	0.00609294255219127	3.05768554391252e-08	Y	Y
93	AbiE	Dpd	-1	1259	5251	39	1.74996237066265e-10	4.09494677562022e-11	0.00133946982751191	Y	Y
94	CRISPR I-E	RM I	-1	18714	17573	11632	2.19770562388556e-10	2.11345721515793e-05	2.62419015867408e-05	Y	Y
95	RM II	hhe	1	928	26131	924	2.63291595135425e-10	0.540941863139264	0.716564522120287	Y	Y
96	GAO_19	PsyrTA	1	1382	850	11	2.91481610658694e-10	0.00700045811537761	0.00171667370738432	Y	Y
97	AbiE	PARIS	1	603	5251	111	3.87041341082725e-10	0.105967559789393	4.21225501078568e-10	Y	Y
98	AbiE	GAO_29	1	180	5251	12	3.93958182239419e-10	0.00715814802836009	1.48666787472793e-05	Y	Y
99	GAO_29	Mokosh II	1	975	180	22	4.11142025260349e-10	2.06162656831416e-10	3.00887266807212e-05	Y	Y
100	Dpd	RM III	-1	3335	1259	75	4.17944310720191e-10	7.23253560736695e-06	4.13066504145951e-09	Y	Y
101	Hachiman I	RM II	-1	26131	1244	1234	5.09963514225557e-10	0.0837043461351742	0.00704963347762407	Y	Y
102	AbiD	Septu I	-1	2632	997	181	5.41180332009124e-10	0.00644455316082728	4.95146753961159e-09	Y	Y
103	cas_adaptation	mza	1	249	195	6	6.07251990965552e-10	1.34245446612794e-09	0.115166371243215	Y	Y
104	Druantia III	Retron I-C	-1	2026	3391	10	7.42972534796757e-10	0.000399838718291278	1.72661118758626e-07	Y	Y
105	AVAST IV	PsyrTA	-1	1382	1001	18	1.20218645983927e-09	8.53621976336936e-11	0.0317561686087993	Y	Y
106	RM II	Septu I	1	2632	26131	2615	1.36567018454891e-09	0.722059310664448	0.117136489503212	Y	Y
107	Mokosh II	RM I	-1	18714	975	752	1.78958905300388e-09	0.00400840740179457	1.0148075526705e-08	Y	Y
108	DprA-PRTase	hhe	1	928	204	3	1.93268150122862e-09	0.250637992695926	0.396564418183374	Y	Y
109	CRISPR I-E	Septu I	1	2632	17573	1682	2.14242806890099e-09	0.0122527199950183	3.32204297510029e-09	Y	Y
110	BREX I	Retron V	1	205	1622	47	2.49340171856828e-09	2.41247265852103e-05	7.95798396178549e-10	Y	Y
111	BREX I	CBASS I	-1	4764	1622	288	2.72137374008354e-09	1.47557693987123e-07	0.0119692759746601	Y	Y
112	CRISPR I-E	SoFic	-1	308	17573	154	2.8919659424496e-09	1.42352008385204e-08	0.0070887941419499	Y	Y
113	AbiD	RM III	1	3335	997	243	4.34623321469462e-09	3.53329636419563e-10	2.68818732943898e-05	Y	Y
114	RM I	RM III	-1	3335	18714	2261	7.11385963777761e-09	5.26835338997064e-06	1.05087968287727e-09	Y	Y
115	AbiE	dCTPdeaminase	1	251	5251	32	8.9411727310968e-09	0.28810475884947	8.54859006215474e-08	Y	Y
116	AbiD	DRT I	-1	1256	997	29	1.18341359204183e-08	9.21587833274477e-06	2.78939340769556e-06	Y	Y
117	PsyrTA	dCTPdeaminase	1	251	1382	32	1.19108472764136e-08	0.130408132209042	1.26201159992287e-09	Y	Y
